month,line,division,terminal otp,num_sched_trips,,,,month-number
2015-01,1,A DIVISION,0.762337806,9017,2015,01,01/2015,42005
2015-01,2,A DIVISION,0.472874494,6175,2015,01,01/2015,42005
2015-01,3,A DIVISION,0.686321563,5834,2015,01,01/2015,42005
2015-01,4,A DIVISION,0.484323757,7623,2015,01,01/2015,42005
2015-01,5,A DIVISION,0.493452473,6491,2015,01,01/2015,42005
2015-01,6,A DIVISION,0.518463811,11509,2015,01,01/2015,42005
2015-01,7,A DIVISION,0.859844181,12322,2015,01,01/2015,42005
2015-01,A,B DIVISION,0.676402347,7327,2015,01,01/2015,42005
2015-01,B,B DIVISION,0.767961165,4120,2015,01,01/2015,42005
2015-01,C,B DIVISION,0.83975,4000,2015,01,01/2015,42005
2015-01,D,B DIVISION,0.760590015,5288,2015,01,01/2015,42005
2015-01,E,B DIVISION,0.690777806,7894,2015,01,01/2015,42005
2015-01,F,B DIVISION,0.579040181,7939,2015,01,01/2015,42005
2015-01,G,B DIVISION,0.699329096,5664,2015,01,01/2015,42005
2015-01,JZ,B DIVISION,0.803453343,5444,2015,01,01/2015,42005
2015-01,L,B DIVISION,0.928731648,9808,2015,01,01/2015,42005
2015-01,M,B DIVISION,0.707619944,5315,2015,01,01/2015,42005
2015-01,N,B DIVISION,0.684730937,5259,2015,01,01/2015,42005
2015-01,Q,B DIVISION,0.698765894,5348,2015,01,01/2015,42005
2015-01,R,B DIVISION,0.618342152,5670,2015,01,01/2015,42005
2015-01,S 42nd,A DIVISION,0.979550448,11834,2015,01,01/2015,42005
2015-01,S Fkln,B DIVISION,0.99277825,2354,2015,01,01/2015,42005
2015-01,S Rock,B DIVISION,0.953841572,3358,2015,01,01/2015,42005
2015-02,1,A DIVISION,0.70719198,8579,2015,02,02/2015,42036
2015-02,2,A DIVISION,0.370276224,5901,2015,02,02/2015,42036
2015-02,3,A DIVISION,0.58739765,5618,2015,02,02/2015,42036
2015-02,4,A DIVISION,0.42507985,7201,2015,02,02/2015,42036
2015-02,5,A DIVISION,0.403272845,6172,2015,02,02/2015,42036
2015-02,6,A DIVISION,0.40028222,10630,2015,02,02/2015,42036
2015-02,7,A DIVISION,0.772320287,11727,2015,02,02/2015,42036
2015-02,A,B DIVISION,0.629842181,6970,2015,02,02/2015,42036
2015-02,B,B DIVISION,0.684210526,3914,2015,02,02/2015,42036
2015-02,C,B DIVISION,0.785,3800,2015,02,02/2015,42036
2015-02,D,B DIVISION,0.672328659,5063,2015,02,02/2015,42036
2015-02,E,B DIVISION,0.691826411,7512,2015,02,02/2015,42036
2015-02,F,B DIVISION,0.530877428,7465,2015,02,02/2015,42036
2015-02,G,B DIVISION,0.695401229,5371,2015,02,02/2015,42036
2015-02,JZ,B DIVISION,0.722125939,5193,2015,02,02/2015,42036
2015-02,L,B DIVISION,0.864387165,9505,2015,02,02/2015,42036
2015-02,M,B DIVISION,0.657696874,5054,2015,02,02/2015,42036
2015-02,N,B DIVISION,0.614166996,5054,2015,02,02/2015,42036
2015-02,Q,B DIVISION,0.674592258,5089,2015,02,02/2015,42036
2015-02,R,B DIVISION,0.577732266,5371,2015,02,02/2015,42036
2015-02,S 42nd,A DIVISION,0.99615797,11192,2015,02,02/2015,42036
2015-02,S Fkln,B DIVISION,0.991525424,2242,2015,02,02/2015,42036
2015-02,S Rock,B DIVISION,0.941784038,3195,2015,02,02/2015,42036
2015-03,1,A DIVISION,0.748816598,9929,2015,03,03/2015,42064
2015-03,2,A DIVISION,0.43504783,7213,2015,03,03/2015,42064
2015-03,3,A DIVISION,0.636897208,6304,2015,03,03/2015,42064
2015-03,4,A DIVISION,0.398464586,8076,2015,03,03/2015,42064
2015-03,5,A DIVISION,0.388523443,7145,2015,03,03/2015,42064
2015-03,6,A DIVISION,0.402662094,12246,2015,03,03/2015,42064
2015-03,7,A DIVISION,0.806793899,13571,2015,03,03/2015,42064
2015-03,A,B DIVISION,0.655597015,8040,2015,03,03/2015,42064
2015-03,B,B DIVISION,0.796685083,4525,2015,03,03/2015,42064
2015-03,C,B DIVISION,0.800227273,4400,2015,03,03/2015,42064
2015-03,D,B DIVISION,0.769894701,5793,2015,03,03/2015,42064
2015-03,E,B DIVISION,0.713184538,8692,2015,03,03/2015,42064
2015-03,F,B DIVISION,0.573254438,8450,2015,03,03/2015,42064
2015-03,G,B DIVISION,0.632857377,6093,2015,03,03/2015,42064
