Business Name,Contact Phone Number,Address,Address City,Address State,Address ZIP,Address Borough,Latitude,Longitude
QUIK PARK 775 GARAGE LLC,2128322066,775 COLUMBUS AVE,NEW YORK,NY,10025,Manhattan,40.793822,-73.966604
"LAZ PARKING NEW YORK, NEW JERSEY LLC",2122652239,120 NASSAU ST,BROOKLYN,NY,11201,Brooklyn,40.698387,-73.986765
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,504 MYRTLE AVE,BROOKLYN,NY,11205,Brooklyn,40.693388,-73.964834
WILLSHIRE CAR PARK INC.,2122216111,18230 WEXFORD TER,JAMAICA,NY,11432,Queens,40.714562,-73.780079
GR PARKING INC,3474459514,4007 73RD ST,WOODSIDE,NY,11377,Queens,40.746436,-73.892099
QUIK PARK WATER STREET LLC,2128322066,95 WALL ST,NEW YORK,NY,10005,Manhattan,40.70493,-74.007487
J P PARKING II CORP,2018000358,4501 BROADWAY,NEW YORK,NY,10040,Manhattan,40.858509,-73.931929
30-40-60 GARAGE LLC,6469644323,30 E 9TH ST,NEW YORK,NY,10003,Manhattan,40.731997,-73.994149
PUBLIC PARKING 200 E. 15TH STREET INC,7187297276,200 E 15TH ST,NEW YORK,NY,10003,Manhattan,40.733804,-73.986522
LM DRIGGS PARKING LLC,212-714-3571,247 METROPOLITAN AVE,BROOKLYN,NY,11211,Brooklyn,40.715075,-73.959164
ZANDER GARAGE LLC,646-964-4323,301 ELIZABETH ST,NEW YORK,NY,10012,Manhattan,40.724668,-73.993544
LIAM GARAGE LLC,646-964-4323,77 W 15TH ST,NEW YORK,NY,10011,Manhattan,40.738077,-73.996052
CHAMPION PARKING 76 ST LLC.,2123085959,205 W 76TH ST,NEW YORK,NY,10023,Manhattan,40.781511,-73.980229
WEST 30TH GARAGE LLC,6409644323,363 W 30TH ST,NEW YORK,NY,10001,Manhattan,40.750823,-73.997765
QUIK PARK 365 MANAGEMENT LLC,2128322066,365 BOND ST,BROOKLYN,NY,11231,Brooklyn,40.677899,-73.99074
RIVERSIDE CENTER PARKING LLC,2126869800,1 W END AVE,NEW YORK,NY,10023,Manhattan,40.771874,-73.990666
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,360 E 65TH ST,NEW YORK,NY,10065,Manhattan,40.763399,-73.959603
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,779-789 RIVERSIDE DR,NEW YORK,NY,10032,Manhattan,40.83497,-73.947685
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,15 WILLIAM ST,NEW YORK,NY,10005,Manhattan,40.70527,-74.010139
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,3916 PRINCE ST,FLUSHING,NY,11354,Queens,40.759179,-73.832188
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,525 E 72ND ST,NEW YORK,NY,10021,Manhattan,40.766495,-73.951597
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,250 W 50TH ST,NEW YORK,NY,10019,Manhattan,40.761885,-73.985413
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,555 W 59TH ST,NEW YORK,NY,10019,Manhattan,40.77171,-73.989732
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,839 AVENUE OF THE AMERICAS,NEW YORK,NY,10001,Manhattan,40.746904,-73.990116
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,15902 JAMAICA AVE,JAMAICA,NY,11432,Queens,40.703278,-73.799939
"CHARLES PARKING, LLC",2126849704,200 E 27TH ST,NEW YORK,NY,10016,Manhattan,40.741112,-73.981006
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,175 KENT AVE,BROOKLYN,NY,11249,Brooklyn,40.718204,-73.963853
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,267 6TH AVE,BROOKLYN,NY,11215,Brooklyn,40.673483,-73.97919
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,8914 PARSONS BLVD,JAMAICA,NY,11432,Queens,40.705484,-73.801764
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,3804 NOSTRAND AVE,BROOKLYN,NY,11235,Brooklyn,40.591228,-73.940324
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,13620 38TH AVE,FLUSHING,NY,11354,Queens,40.760929,-73.83002
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,56-80 GREENWICH ST,NEW YORK,NY,10006,Manhattan,40.707249,-74.014063
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,160 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan,40.777769,-73.988529
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,527 E 14TH ST,NEW YORK,NY,10009,Manhattan,40.730307,-73.979793
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,325 AVENUE C,NEW YORK,NY,10009,Manhattan,40.732075,-73.974477
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,300 SCHERMERHORN ST,BROOKLYN,NY,11217,Brooklyn,40.687493,-73.982583
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,8020 COOPER AVE,GLENDALE,NY,11385,Queens,40.709473,-73.869014
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,420 E 20TH ST,NEW YORK,NY,10009,Manhattan,40.734147,-73.978732
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,501 E 87TH ST,NEW YORK,NY,10128,Manhattan,40.776582,-73.94627
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,265 E 66TH ST,NEW YORK,NY,10065,Manhattan,40.765287,-73.961275
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,200 CABRINI BLVD,NEW YORK,NY,10033,Manhattan,40.854533,-73.938937
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,8914 PARSONS BLVD,JAMAICA,NY,11432,Queens,40.705484,-73.801764
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,347-353 E 17TH ST,NEW YORK,NY,10003,Manhattan,40.733534,-73.981425
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,388 BRIDGE ST,BROOKLYN,NY,11201,Brooklyn,40.691642,-73.985432
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,312 BERGEN ST,BROOKLYN,NY,11217,Brooklyn,40.683155,-73.981812
PARK KWIK LLC,2129745840,325 KENT AVE,BROOKLYN,NY,11249,Brooklyn,40.713572,-73.967141
"ONE PARKING RC, INC.",480-272-2100,10 ROCKEFELLER PLZ,NEW YORK,NY,10020,Manhattan,40.758278,-73.979164
QUIK PARK EAST 79 GARAGE LLC,212-832-2066,435 E 79TH ST,NEW YORK,NY,10075,Manhattan,40.771741,-73.950732
"ONE PARKING 709, INC.",4802722100,2830 JACKSON AVE,LONG ISLAND CITY,NY,11101,Queens,40.7486,-73.937793
MP 1775 LLC,2124903460,1775 GRAND CONCOURSE,BRONX,NY,10453,Bronx,40.846345,-73.910029
POO PARKING CORP.,2124903460,1752 MORRIS AVE,BRONX,NY,10457,Bronx,40.845841,-73.909117
