Business Name,Contact Phone Number,Address,Address City,Address State,Address ZIP,Address Borough
QUIK PARK 775 GARAGE LLC,2128322066,775 COLUMBUS AVE,NEW YORK,NY,10025,Manhattan
"LAZ PARKING NEW YORK, NEW JERSEY LLC",2122652239,120 NASSAU ST,BROOKLYN,NY,11201,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,504 MYRTLE AVE,BROOKLYN,NY,11205,Brooklyn
WILLSHIRE CAR PARK INC.,2122216111,18230 WEXFORD TER,JAMAICA,NY,11432,Queens
GR PARKING INC,3474459514,4007 73RD ST,WOODSIDE,NY,11377,Queens
QUIK PARK WATER STREET LLC,2128322066,95 WALL ST,NEW YORK,NY,10005,Manhattan
J P PARKING II CORP,2018000358,4501 BROADWAY,NEW YORK,NY,10040,Manhattan
30-40-60 GARAGE LLC,6469644323,30 E 9TH ST,NEW YORK,NY,10003,Manhattan
PUBLIC PARKING 200 E. 15TH STREET INC,7187297276,200 E 15TH ST,NEW YORK,NY,10003,Manhattan
LM DRIGGS PARKING LLC,212-714-3571,247 METROPOLITAN AVE,BROOKLYN,NY,11211,Brooklyn
ZANDER GARAGE LLC,646-964-4323,301 ELIZABETH ST,NEW YORK,NY,10012,Manhattan
LIAM GARAGE LLC,646-964-4323,77 W 15TH ST,NEW YORK,NY,10011,Manhattan
CHAMPION PARKING 76 ST LLC.,2123085959,205 W 76TH ST,NEW YORK,NY,10023,Manhattan
WEST 30TH GARAGE LLC,6409644323,363 W 30TH ST,NEW YORK,NY,10001,Manhattan
QUIK PARK 365 MANAGEMENT LLC,2128322066,365 BOND ST,BROOKLYN,NY,11231,Brooklyn
RIVERSIDE CENTER PARKING LLC,2126869800,1 W END AVE,NEW YORK,NY,10023,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,360 E 65TH ST,NEW YORK,NY,10065,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,779-789 RIVERSIDE DR,NEW YORK,NY,10032,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,15 WILLIAM ST,NEW YORK,NY,10005,Manhattan
